,el_kWh,Qh_40_kWh,Qh_60_kWh,Qc_kWh
176,717.169,559.615,322.55,0
177,718.617,550.104,327.102,0
178,717.971,507.76,301.898,0
179,718.208,463.015,340.426,0
180,1063.195,52.149,329.029,0
181,773.286,290.73,292.861,0
182,716.867,313.925,224.089,0
183,717.115,327.214,190.714,0
184,715.071,357.602,233.48,0
185,760.717,271.571,299.145,0
186,1041.648,14.585,363.255,0
187,1137.118,1.055,287.446,0
188,450.511,260.437,171.915,0
189,445.973,0,173.01,0
190,445.009,0,123.634,0
191,390.633,0,67.105,0
192,388.023,0,36.144,0
193,388.019,0,27.53,0
194,388.016,0,22.137,0
195,388.008,0,15.705,0
196,388.008,0,15.71,0
197,435.307,0,22.142,0
198,732.37,190.108,63.094,0
199,440.668,451.518,145.687,0
200,392.197,495.52,228.974,0
201,392.234,486.318,301.369,0
202,392.247,457.185,329.039,0
203,392.253,438.99,336.661,0
204,728.719,64.208,265.707,0
205,444.442,263.757,256.551,0
206,392.195,317.259,215.001,0
207,392.181,329.474,193.484,0
208,392.145,343.973,118.282,0
209,444.013,251.314,188.093,0
210,728.135,10.346,250.375,0
211,817.265,0.659,268.854,0
212,439.345,254.417,152.058,0
213,433.975,0,132.943,0
214,434.501,0,123.759,0
215,388.032,0,60.106,0
216,388.02,0,28.831,0
217,388.013,0,17.97,0
218,388.008,0,20.148,0
219,388.008,0,20.171,0
220,388.009,0,15.681,0
221,435.694,0,125.01,0
222,733.312,272.044,326.8,0
223,1015.537,2315.915,345.925,0
224,1527.953,2052.483,363.113,0
225,1857.349,1777.502,387.992,0
226,2151.076,1523.097,368.401,0
227,1835.276,1405.158,325.641,0
228,1470.559,1069.549,312.117,0
229,1590.026,1075.176,340.53,0
230,2151.042,933.316,319.83,0
231,1837.933,982.749,276.451,0
232,1607.281,977.918,241.145,0
233,1019.754,994.343,247.973,0
234,1049.809,67.725,287.427,0
235,1145.639,14.089,287.411,0
236,450.317,338.9,231.062,0
237,445.463,0,182.527,0
238,445.548,0,96.091,0
239,390.436,0,69.015,0
240,388.02,0,28.876,0
241,388.013,0,18.007,0
242,388.008,0,20.213,0
243,388.008,0,20.27,0
244,388.009,0,15.688,0
245,435.02,0,124.986,0
246,730.779,301.805,326.697,0
247,1017.174,1621.01,333.527,0
248,1527.432,1425.178,362.93,0
249,1855.657,1257.15,387.868,0
250,2153.423,1050.167,368.3,0
251,1835.257,1029.49,325.607,0
252,1480.021,767.56,312.147,0
253,1587.246,867.163,340.63,0
254,2146.554,717.105,319.89,0
255,1837.505,745.252,276.441,0
256,1608.345,742.88,241.099,0
257,1017.946,785.894,247.933,0
258,1044.263,84.657,287.366,0
259,1140.733,18.769,287.327,0
260,451.032,341.513,230.998,0
261,446.554,0,182.474,0
262,446.374,0,96.08,0
263,390.619,0,68.987,0
264,388.02,0,28.86,0
265,388.013,0,18.004,0
266,388.008,0,20.216,0
267,388.008,0,20.239,0
268,388.009,0,15.717,0
269,435.117,0,125.055,0
270,731.647,342.486,326.857,0
271,1014.741,1504.55,333.725,0
272,1520.99,1342.924,363.162,0
273,1850.496,1175.198,388.08,0
274,2143.675,962.423,368.452,0
275,1831.135,896.866,325.655,0
276,1475.617,619.06,312.148,0
277,1587.246,619.197,340.487,0
278,2153.069,497.043,319.681,0
279,1835.985,539.571,276.253,0
280,1609.944,598.169,241.009,0
281,1019.077,667.589,247.885,0
282,1051.188,70.369,287.366,0
283,1145.272,20.114,287.383,0
284,451.266,360.076,231.078,0
285,445.883,0,182.562,0
