Building,Surface_Index,Area,Roof,WWR,useful_area
Geb_Gebaut,93,122.557392,,0.4,49.0229568
Geb_Gebaut,94,176.159496,,0.4,70.4637984
Geb_Gebaut,95,230.192791,,0.4,92.0771164
Geb_Gebaut,96,718.19297,1,0.7,502.735079
Geb_Gebaut,97,465.549144,,0.4,186.2196576
Geb_Gebaut,98,105.663168,,0.4,42.2652672
Geb_Gebaut,99,212.253268,,0.4,84.9013072
Geb_Gebaut,100,243.218576,,0.4,97.2874304
Geb_Gebaut,101,814.279419,1,0.7,569.9955933
Geb_Gebaut,102,401.553525,,0.4,160.62141
Geb_Gebaut,103,170.041824,,0.4,68.0167296
Geb_Gebaut,104,206.313979,,0.4,82.5255916
Geb_Gebaut,105,248.523279,,0.4,99.4093116
Geb_Gebaut,106,904.329138,,0.4,361.7316552
Geb_Gebaut,107,150.847811,,0.4,60.3391244
Geb_Gebaut,108,461.934579,,0.4,184.7738316
Geb_Gebaut,109,185.855923,,0.4,74.3423692
Geb_Gebaut,110,591.280558,,0.4,236.5122232
Geb_Gebaut,111,384.581696,,0.4,153.8326784
Geb_Gebaut,112,400.195127,,0.4,160.0780508
Geb_Gebaut,113,1004.33352,1,0.7,703.033464
Geb_Gebaut,114,454.81293,1,0.7,318.369051
Geb_Gebaut,115,84.0373809,,0.4,33.61495236
Geb_Gebaut,116,148.33555,,0.4,59.33422
Geb_Gebaut,117,151.356016,,0.4,60.5424064
Geb_Hochhaus,118,826.072617,1,0.7,578.2508319
Geb_Hochhaus,129,641.444521,,0.7,449.0111647
Geb_Hochhaus,130,1118.98813,,0.7,783.291691
Geb_Hochhaus,131,641.448959,,0.7,449.0142713
Geb_Hochhaus,132,1118.99729,,0.7,783.298103
Geb_Hochhaus,119,2262.33242,,0.7,1583.632694
Geb_Hochhaus,120,1076.90247,,0.7,753.831729
Geb_Hochhaus,121,2262.32798,,0.7,1583.629586
Geb_Hochhaus,122,1076.91164,,0.7,753.838148
Geb_Hochhaus,123,700.461989,1,0.7,490.3233923
Geb_Hochhaus,124,1948.23908,1,0.7,1363.767356
Geb_Hochhaus,125,880.701669,,0.7,616.4911683
Geb_Hochhaus,126,1243.49262,,0.7,870.444834
Geb_Hochhaus,127,876.541152,,0.7,613.5788064
Geb_Hochhaus,128,866.577124,,0.7,606.6039868
Geb_S16,157,1428.68429,,0.4,571.473716
Geb_S16,158,494.7664,,0.4,197.90656
Geb_S16,159,438.471143,,0.4,175.3884572
Geb_S16,160,698.246614,,0.4,279.2986456
Geb_S16,161,185.768845,1,0.7,130.0381915
Geb_S16,162,472.278151,1,0.7,330.5947057
Geb_S16,163,411.129829,,0.4,164.4519316
Geb_S16,164,234.20136,,0.4,93.680544
Geb_S16,165,1089.27174,,0.4,435.708696
Geb_S18,152,237.474336,1,0.7,166.2320352
Geb_S18,153,222.857256,1,0.7,156.0000792
Geb_S18,154,237.222282,1,0.7,166.0555974
Geb_S18,155,669.4369,1,0.7,468.60583
Geb_S18,156,409.62623,1,0.7,286.738361
Geb_S37,133,446.404729,,0.4,178.5618916
Geb_S37,134,305.823879,,0.4,122.3295516
Geb_S37,135,326.02567,,0.4,130.410268
Geb_S37,136,339.473711,,0.4,135.7894844
Geb_S37,137,316.309857,,0.4,126.5239428
Geb_S37,138,169.540679,,0.4,67.8162716
Geb_S37,139,329.18551,,0.4,131.674204
Geb_S37,140,270.53889,,0.4,108.215556
Geb_S37,141,1593.45482,,0.4,637.381928
Geb_S37,142,1058.43373,,0.4,423.373492
Geb_S37,143,782.647419,1,0.7,547.8531933
Geb_S37,144,130.941564,1,0.7,91.6590948
Geb_S37,145,638.06709,,0.4,255.226836
Geb_S37,146,828.644683,,0.4,331.4578732
Geb_S37,147,752.743782,,0.4,301.0975128
Geb_S37,148,289.865215,,0.4,115.946086
Geb_S37,149,1059.53991,,0.4,423.815964
Geb_S37,150,1024.92959,,0.4,409.971836
Geb_S37,151,185.458314,,0.4,74.1833256
Geb01,184,300.111058,,0.4,120.0444232
Geb01,185,364.987927,,0.4,145.9951708
Geb01,186,227.993646,,0.4,91.1974584
Geb01,187,268.696335,,0.4,107.478534
Geb01,188,270.842144,,0.4,108.3368576
Geb01,189,252.879217,,0.4,101.1516868
Geb01,190,979.672822,1,0.7,685.7709754
Geb01,191,356.38952,,0.4,142.555808
Geb01,192,338.683773,,0.4,135.4735092
Geb02,175,211.251569,,0.4,84.5006276
Geb02,176,358.07448,,0.4,143.229792
Geb02,177,234.331414,,0.4,93.7325656
Geb02,178,340.359988,,0.4,136.1439952
Geb02,179,671.905236,1,0.7,470.3336652
Geb02,180,129.003248,,0.4,51.6012992
Geb02,181,176.201013,,0.4,70.4804052
Geb02,182,131.479722,,0.4,52.5918888
Geb02,183,182.77387,,0.4,73.109548
Geb03,166,263.555274,,0.4,105.4221096
Geb03,167,223.804509,,0.4,89.5218036
Geb03,168,362.12853,,0.4,144.851412
Geb03,169,298.620566,,0.4,119.4482264
Geb03,170,252.443227,,0.4,100.9772908
Geb03,171,348.738933,,0.4,139.4955732
Geb03,172,997.370434,1,0.7,698.1593038
Geb03,173,336.203502,,0.4,134.4814008
Geb03,174,261.48446,,0.4,104.593784
