,hs,dhw,cs,el
202,867.813,246.644,0,351.267
203,822.555,251.857,0,351.268
204,393.977,195.729,0,684.784
205,599.474,192.899,0,400.419
206,616.87,162.695,0,351.226
207,608.64,146.888,0,351.218
208,620.904,91.412,0,351.189
209,532.241,140.797,0,400.212
210,207.98,188.32,0,690.359
211,118.686,201.917,0,784.035
212,505.401,116.154,0,398.166
213,0,100.402,0,392.423
214,0,93.684,0,392.706
215,0,44.974,0,346.471
216,0,22.78,0,346.461
217,0,16.227,0,346.456
218,0,25.209,0,346.451
219,0,25.29,0,346.451
220,0,17.299,0,346.453
221,0,92.559,0,394.051
222,805.432,240.874,0,683.193
223,6738.507,265.591,0,904.923
224,6001.81,288.201,0,1412.733
225,5558.3,316.933,0,1736.172
226,4770.465,302.525,0,2042.701
227,4331.371,274.512,0,1728.905
228,3606.858,254.829,0,1392.488
229,3496.024,278,0,1495.32
230,2992.517,263.517,0,2034.642
231,2871.352,224.175,0,1718.869
232,2887.326,204.06,0,1494.811
233,2871.973,201.172,0,912.504
234,391.603,223.214,0,941.45
235,303.297,222.56,0,1033.973
236,679.032,182.79,0,423.355
237,0,150.511,0,424.907
238,0,77.452,0,436.127
239,0,55.338,0,358.383
240,0,22.912,0,346.461
241,0,16.347,0,346.456
242,0,25.439,0,346.451
243,0,25.463,0,346.451
244,0,17.365,0,346.453
245,0,92.576,0,393.823
246,864.436,240.808,0,685.924
247,4550.479,254.474,0,906.07
248,4010.504,287.981,0,1415.971
249,3715.5,316.693,0,1734.783
250,3119.233,302.262,0,2033.177
251,2908.15,274.29,0,1725.675
252,2440.926,254.653,0,1386.922
253,2435.531,277.801,0,1493.175
254,2086.84,263.335,0,2030.591
255,2036.093,224.003,0,1720.226
256,2043.472,203.907,0,1492.268
257,2076.17,200.985,0,912.537
258,362.897,222.912,0,936.389
259,252.208,222.22,0,1036.109
260,615.78,182.489,0,424.101
261,0,150.28,0,424.914
262,0,77.262,0,436.469
263,0,55.224,0,358.44
264,0,22.829,0,346.461
265,0,16.279,0,346.456
266,0,25.335,0,346.451
267,0,25.404,0,346.451
268,0,17.364,0,346.453
269,0,92.615,0,394.048
270,887.992,240.964,0,687.804
271,4014.07,254.641,0,910.058
272,3598.866,288.286,0,1415.957
273,3331.76,317.002,0,1732.353
274,2745.548,302.589,0,2033.579
275,2558.484,274.597,0,1724.473
276,2081.077,254.969,0,1385.444
277,2201.703,278.194,0,1488.465
278,2022.553,263.784,0,2024.868
279,2032.121,224.429,0,1712.39
280,2059.862,204.268,0,1485.667
281,2100.761,201.355,0,910.539
282,456.736,223.348,0,942.225
283,371.975,222.676,0,1030.242
284,736.806,182.886,0,423.761
285,0,150.596,0,425.12
286,0,77.48,0,435.232
287,0,55.36,0,358.242
288,0,22.932,0,346.461
289,0,16.371,0,346.456
290,0,25.504,0,346.451
291,0,25.559,0,346.451
292,0,17.394,0,346.453
293,0,92.604,0,394.009
294,901.094,240.864,0,691.075
295,3836.586,254.571,0,912.522
296,3385.128,288.055,0,1416.867
297,3069.635,316.643,0,1735.444
298,2481.861,302.166,0,2037.275
299,2301.406,274.176,0,1725.363
300,1888.256,254.536,0,1394.254
301,1919.42,277.693,0,1494.996
302,1655.236,263.22,0,2025.216
303,1625.462,223.919,0,1716.865
304,1660.714,203.809,0,1494.771
305,1698.519,200.873,0,909.532
306,336.94,222.766,0,931.972
307,221.982,222.025,0,1026.176
308,557.66,182.296,0,423.705
309,0,150.011,0,424.201
310,0,77.116,0,434.916
311,0,55.027,0,358.264
312,0,22.758,0,346.461
313,0,16.156,0,346.456
314,0,24.957,0,346.451
315,0,25.006,0,346.451
316,0,17.12,0,346.453
317,0,92.274,0,394.105
318,593.036,240.237,0,689.984
319,2742.492,253.555,0,909.013
320,2300.021,287.31,0,1414.922
321,2070.907,315.955,0,1730.207
322,1674.068,301.616,0,2023.78
323,1607.934,273.759,0,1722.028
324,1331.685,254.213,0,1374.939
325,1386.976,277.358,0,1483.651
326,1225.889,262.885,0,2018.157
327,1216.995,223.617,0,1705.83
328,1185.785,203.504,0,1485.296
329,1279.214,200.641,0,911.734
330,244.476,222.593,0,938.481
331,150.267,221.899,0,1028.752
332,517.993,182.257,0,422.767
333,0,150.003,0,424.975
334,0,77.113,0,435.259
335,0,55.06,0,358.111
336,0,22.187,0,346.461
337,0,23.943,0,346.462
338,0,17.638,0,346.458
339,0,18.339,0,346.453
340,0,18.378,0,346.453
341,0,27.635,0,393.694
342,717.171,69.185,0,681.968
343,970.813,145.808,0,637.859
344,993.138,254.55,0,606.09
345,945.48,258.517,0,608.446
346,891.781,240.011,0,607.615
347,821.002,289.307,0,607.733
348,369.724,299.531,0,968.863
349,616.777,254.372,0,675.09
350,655.942,172.154,0,602.426
351,654.838,147.661,0,599.295
