,hs,dhw,cs,el
177,0,238.927,6262.294,2386.139
178,0,173.275,6783.375,2564.184
179,0,183.318,6532.5,2572.505
180,0,178.077,5745.79,2165.409
181,0,174.783,6123.735,2175.706
182,0,265.2,6434.688,2248.167
183,0,300.325,6471.595,2270.214
184,0,343.257,6689.854,2344.751
185,0,332.258,6445.998,2280.498
186,0,214.487,2107.945,1773.155
187,0,151.046,1836.538,1632.972
188,0,127.129,1759.516,1544.314
189,0,133.348,1720.791,1482.322
190,0,55.963,1684.99,1336.193
191,0,51.05,1636.836,1217.086
192,0,35.171,1562.187,1176.05
193,0,32.725,1531.523,1118.663
194,0,32.729,1467.874,1109.667
195,0,44.42,1394.479,1101.663
196,0,43.015,1323.805,1094.429
197,0,54.2,1253.826,1088.173
198,0,352.667,7158.45,1465.45
199,0,312.964,4540.483,1675.241
200,0,229.953,4845.096,1798.652
201,0,190.399,4812.569,1883.316
202,0,160.834,5296.881,2024.456
203,0,169.158,5632.63,2071.78
204,0,164.142,5850.454,2043.011
205,0,175.452,5849.56,2034.469
206,0,258.703,5790.229,2048.121
207,0,293.774,5712.767,2050.101
208,0,335.201,5749.013,2080.762
209,0,342.178,5480.465,2121.016
210,0,222.52,1756.167,1717.156
211,0,160.232,1676.134,1670.471
212,0,132.748,1586.426,1583.641
213,0,149.548,1519.143,1515.204
214,0,69.976,1480.165,1280.255
215,0,56.234,1435.819,1202.391
216,0,17.099,1368.752,1475.62
217,0,15.919,1291.516,1232.791
218,0,15.925,1194.882,1203.236
219,0,37.01,1091.533,1195.435
220,0,35.571,1013.183,1186.09
221,0,36.863,940.199,1223.321
222,0,346.268,6368.264,1678.119
223,0,334.983,4001.407,1879.31
224,0,273.099,8060.984,3411.45
225,0,232.193,9062.564,3580.868
226,0,169.475,9042.165,3748.776
227,0,180.989,9279.399,3801.497
228,0,191.199,8475.193,3547.71
229,0,185.542,9834.217,3786.728
230,0,264.694,9947.969,3843.171
231,0,304.941,10005.116,3870.558
232,0,357.987,10379.871,3941.316
233,0,341.887,7919.835,2895.173
234,0,217.132,2170.558,2092.897
235,0,149.98,1962.449,2023.473
236,0,127.61,1872.692,1886.335
237,0,115.008,1836.846,1825.529
238,0,49.306,1743.831,1605.24
239,0,42.453,1582.265,1519.562
240,0,16.91,1443.027,1654.175
241,0,15.744,1314.722,1311.558
242,0,15.753,1263.551,1266.71
243,0,36.797,1194.699,1248.879
244,0,35.385,1148.013,1233.513
245,0,36.721,1103.53,1264.884
246,0,346.015,6916.669,1747.468
247,0,334.867,5063.238,1996.432
248,0,272.996,9122.19,3519.204
249,0,232.083,9954.792,3693.907
250,0,169.348,10098.926,3884.181
251,0,180.903,10105.593,3873.549
252,0,191.177,8881.957,3567.657
253,0,185.573,10185.108,3799.387
254,0,264.75,10300.511,3836.06
255,0,305.021,10398.226,3865.353
256,0,358.067,10709.035,3955.129
257,0,341.941,8070.578,2910.563
258,0,217.135,2144.939,2089.81
259,0,149.97,1894.489,2017.987
260,0,127.612,1802.114,1887.914
261,0,115.007,1742.67,1820.901
262,0,49.307,1656.881,1601.176
263,0,42.446,1559.427,1524.493
264,0,16.894,1478.847,1653.178
265,0,15.735,1406.049,1303.617
266,0,15.744,1356.362,1265.81
267,0,36.825,1290.63,1243.815
268,0,35.388,1209.535,1229.065
269,0,36.731,1115.025,1274.854
270,0,346.194,7167.307,1743.294
271,0,334.953,4982.801,2001.802
272,0,273.178,8822.215,3489.575
273,0,232.435,8274.864,3510.027
274,0,169.706,9361.524,3704.563
275,0,181.201,10437.499,3826.311
276,0,191.357,9185.806,3614.584
277,0,185.66,10513.808,3835.365
278,0,264.851,10286.903,3834.937
279,0,305.198,9825.729,3778.05
280,0,358.381,9560.162,3770.956
281,0,342.279,6977.938,2735.922
282,0,217.408,1847.957,2047.524
283,0,150.187,1608.243,1965.373
284,0,127.778,1534.678,1847.686
285,0,115.151,1488.356,1787.508
286,0,49.42,1413.368,1564.534
287,0,42.547,1323.587,1484.735
288,0,16.99,1261.77,1580.272
289,0,15.821,1206.029,1268.317
290,0,15.829,1114.522,1225.074
291,0,36.919,1056.079,1217.237
292,0,35.472,980.994,1203.335
293,0,36.787,950.45,1239.901
294,0,346.143,6775.811,1712.907
295,0,334.944,4511.534,1948.858
296,0,273.085,8980.276,3470.124
297,0,232.223,9667.647,3593.346
298,0,169.524,10086.026,3770.26
299,0,181.028,10568.931,3845.216
300,0,191.256,9434.882,3585.252
301,0,185.617,10797.018,3796.116
302,0,264.804,10370.579,3817.01
303,0,305.118,10136.851,3796.503
304,0,358.304,10277.552,3806.297
305,0,342.161,7415.032,2779.646
306,0,217.351,1741.292,2032.171
307,0,150.122,1699.142,1982.746
308,0,127.735,1634.246,1849.759
309,0,115.113,1567.691,1789.746
310,0,49.389,1560.43,1567.881
311,0,42.514,1451.357,1487.262
