Name,hs,dhw,hs_and_dhw,cs,el
B1515,55.317,7.045,62.362,0.0,13.21
B3302,0.0,0.0,0.0,0.0,0.463
B3316,0.0,0.0,0.0,0.0,0.119
B2008,77.076,3.949,81.02499999999999,0.0,6.956
B1501,59.331,3.274,62.605000000000004,0.0,5.143
B1267,40.196,0.932,41.128,0.0,1.915
B1930,165.837,1.527,167.36399999999998,0.0,5.459
B3841,97.25,5.803,103.053,0.0,10.663
B2587,160.438,3.706,164.14399999999998,0.0,31.627
B3699,43.532,0.932,44.464,0.0,1.918
B3855,37.279,1.701,38.980000000000004,0.0,2.225
B2593,350.756,52.569,403.325,0.0,114.599
B1924,109.976,1.208,111.184,0.0,3.279
B3869,59.634,1.333,60.967,0.0,1.901
B1918,128.362,7.03,135.392,0.0,13.453
B2222,28.859,7.335,36.194,0.0,9.586
B4135,49.339,8.596,57.935,0.0,17.47
B3882,154.634,8.178,162.81199999999998,0.0,16.383
B2544,41.621,4.458,46.079,0.0,7.807
B1059,0.0,0.0,0.0,0.0,0.304
B4121,54.261,2.238,56.499,0.0,3.21
B3896,239.703,10.447,250.15,0.0,20.804
B2550,200.355,3.912,204.267,0.0,6.468
B2236,447.628,14.126,461.75399999999996,0.0,166.203
B3128,157.581,4.141,161.72199999999998,0.0,7.484
B3100,28.745,0.942,29.687,0.0,6.874
B1717,97.025,10.67,107.69500000000001,0.0,20.637
B1071,52.214,1.059,53.272999999999996,0.0,2.693
B3666,407.198,13.651,420.849,0.0,158.648
B2578,132.904,35.16,168.064,0.0,75.107
B3672,14.816,0.277,15.093,0.0,2.841
B1065,222.687,11.448,234.13500000000002,0.0,23.842
B1703,68.814,2.578,71.392,0.0,4.168
B3114,0.0,0.0,0.0,0.0,0.305
B2395,36.912,0.674,37.586,0.0,11.267
B1844,72.982,1.523,74.505,0.0,4.976
B4082,49.232,2.666,51.897999999999996,0.0,4.162
B3935,0.0,0.0,0.0,0.0,0.068
B4096,287.977,6.033,294.01,0.0,12.857
B3921,315.631,6.186,321.81699999999995,0.0,13.274
B1850,39.804,1.028,40.832,0.0,2.542
B1688,104.421,5.95,110.37100000000001,0.0,11.049
B2381,0.0,0.0,0.0,0.0,0.172
B1878,21.163,1.176,22.339,0.0,6.411
B3909,0.0,0.0,0.0,0.0,0.184
B1887,665.248,16.256,681.504,0.0,201.706
B3048,46.242,1.204,47.446,0.0,2.821
B2356,52.16,5.944,58.104,0.0,11.219
B2430,63.439,2.085,65.524,0.0,3.017
B4041,50.872,6.527,57.399,0.0,12.313
B1139,39.728,1.008,40.736000000000004,0.0,1.9
B2424,20.895,0.561,21.456,0.0,6.691
B4055,111.37,3.303,114.673,0.0,6.029
B2342,60.632,3.597,64.229,0.0,6.314
B1893,66.859,1.795,68.654,0.0,5.781
B3074,57.822,4.778,62.6,0.0,8.55
B1663,41.237,1.074,42.311,0.0,2.466
B1105,72.55,4.132,76.682,0.0,7.491
B3712,21.135,0.9,22.035,0.0,1.8
B2418,72.486,5.096,77.58200000000001,0.0,12.884
B4069,127.886,2.676,130.56199999999998,0.0,4.906
B3706,22.302,0.923,23.225,0.0,1.882
B1111,52.251,4.44,56.690999999999995,0.0,8.01
B1677,0.0,0.0,0.0,0.0,0.497
B3060,151.696,6.201,157.897,0.0,11.421
B2829,12.048,1.105,13.153,0.0,2.762
B3289,21.324,0.962,22.286,0.0,2.275
B2197,139.536,15.461,154.997,0.0,31.121
B2183,106.373,5.187,111.56,0.0,9.241
B2815,152.997,8.145,161.14200000000002,0.0,15.955
B2801,36.38,5.667,42.047000000000004,0.0,9.393
B2632,656.897,12.71,669.6070000000001,0.0,147.229
B2154,85.754,6.531,92.28500000000001,0.0,12.019
B1449,39.899,0.987,40.886,0.0,2.125
B2140,85.663,4.131,89.794,0.0,7.102
B2626,226.949,14.592,241.54100000000003,0.0,29.869
B3510,4.287,0.113,4.4,0.0,1.285
B1307,90.148,4.39,94.538,0.0,7.314
B1461,367.862,20.312,388.17400000000004,0.0,43.006
B2168,99.767,5.167,104.934,0.0,9.171
B3276,0.0,0.0,0.0,0.0,0.094
B3262,54.489,4.928,59.416999999999994,0.0,8.983
B1475,58.46,1.844,60.304,0.0,2.776
B1313,71.958,4.576,76.53399999999999,0.0,7.528
B3504,412.779,8.02,420.799,0.0,147.353
B1474,76.8,0.0,76.8,0.0,5.907
B3263,0.0,0.0,0.0,0.0,0.086
B3505,516.001,8.896,524.8969999999999,0.0,191.054
B1312,95.93,4.58,100.51,0.0,7.564
B1306,284.631,7.869,292.5,0.0,88.26
B3511,254.28,5.43,259.71,0.0,90.548
B3277,61.322,5.416,66.738,0.0,10.011
B2169,84.38,3.242,87.622,0.0,5.243
B1460,22.981,5.765,28.746000000000002,0.0,2.544
B2141,65.234,4.797,70.03099999999999,0.0,8.23
B1448,31.554,5.315,36.869,0.0,10.612
B2627,131.058,15.764,146.822,0.0,32.099
B3539,123.11,2.442,125.55199999999999,0.0,34.147
B2633,183.857,4.712,188.569,0.0,43.514
B2155,87.803,4.123,91.926,0.0,7.143
B2800,37.318,5.651,42.968999999999994,0.0,9.261
B2814,253.262,9.105,262.367,0.0,18.213
B2182,107.571,5.776,113.347,0.0,10.214
