Name,hs,dhw,hs_and_dhw,cs,el
B2945,41.927,1.175,43.102,0.0,3.059
B1294,324.771,5.559,330.33000000000004,0.0,10.345
B1280,54.913,9.715,64.628,0.0,20.489
B3497,7.053,0.185,7.2379999999999995,0.0,1.946
B2951,83.532,5.356,88.88799999999999,0.0,8.86
B2789,5.974,0.728,6.702,0.0,2.013
B2979,38.551,1.194,39.745000000000005,0.0,2.813
B3326,0.0,0.0,0.0,0.0,0.101
B2038,63.396,9.687,73.083,0.0,19.487
B1531,45.507,0.976,46.483,0.0,2.113
B1257,0.47,0.994,1.464,0.0,7.262
B3440,0.0,0.0,0.0,0.0,0.098
B2986,39.755,3.355,43.11,0.0,5.22
B3454,68.014,9.44,77.454,0.0,18.842
B2992,40.946,1.216,42.162,0.0,2.904
B1243,534.888,11.565,546.4530000000001,0.0,126.361
B1525,88.157,3.692,91.84899999999999,0.0,6.77
B3332,8.812,0.225,9.036999999999999,0.0,2.25
B2004,193.291,1.89,195.18099999999998,0.0,5.961
B2762,32.155,3.307,35.462,0.0,5.546
B2776,18.019,1.23,19.249,0.0,7.672
B2010,101.349,3.597,104.946,0.0,6.272
B1519,15.299,0.947,16.246,0.0,3.368
B1096,53.978,0.993,54.971000000000004,0.0,2.435
B3859,58.374,0.992,59.366,0.0,2.477
B3681,97.169,4.879,102.048,0.0,8.887
B1928,79.773,2.443,82.216,0.0,3.746
B3695,15.85,0.966,16.816,0.0,2.418
B1082,54.32,1.203,55.523,0.0,2.841
B3865,101.595,5.552,107.14699999999999,0.0,10.03
B1914,36.62,4.914,41.534,0.0,9.715
B1900,9.646,0.219,9.865,0.0,2.242
B3871,51.661,4.695,56.356,0.0,8.587
B3642,337.247,14.346,351.593,0.0,29.421
B1055,102.502,1.544,104.04599999999999,0.0,5.347
B1733,85.636,3.978,89.61399999999999,0.0,6.915
B3124,31.202,6.197,37.399,0.0,11.569
B3130,64.259,27.779,92.038,0.0,21.835
B1727,176.122,4.709,180.83100000000002,0.0,19.665
B1041,169.548,4.972,174.52,0.0,9.143
B4139,48.873,7.28,56.153,0.0,13.696
B3656,84.913,3.544,88.457,0.0,5.856
B2548,58.805,1.219,60.024,0.0,3.113
B1069,51.254,1.06,52.314,0.0,2.698
B4111,0.0,0.0,0.0,0.0,0.108
B2560,62.554,5.608,68.162,0.0,10.354
B2206,125.868,8.438,134.30599999999998,0.0,15.801
B3118,159.998,3.607,163.605,0.0,6.482
B2212,0.0,0.0,0.0,0.0,0.076
B4105,1216.719,28.548,1245.267,0.0,350.247
B2574,89.068,5.125,94.193,0.0,8.443
B3093,55.59,1.706,57.29600000000001,0.0,2.541
B1684,96.306,1.522,97.828,0.0,4.642
B1848,148.559,7.906,156.465,0.0,15.015
B1690,38.701,5.894,44.595,0.0,11.94
B2399,15.73,0.37,16.1,0.0,3.907
B3087,50.08,1.685,51.765,0.0,2.311
B3911,98.346,9.475,107.821,0.0,18.404
B1860,71.76,2.347,74.107,0.0,3.704
B1874,295.64,5.263,300.90299999999996,0.0,93.835
B3905,0.0,0.0,0.0,0.0,0.136
B2428,0.0,0.0,0.0,0.0,0.332
B3736,18.761,0.914,19.675,0.0,1.863
B4059,73.276,2.246,75.52199999999999,0.0,3.422
B1121,74.648,4.194,78.842,0.0,7.454
B1647,84.779,2.417,87.196,0.0,8.345
