,hs,dhw,cs,el
0,1685.3350000000028,2243.842000000001,0.0,12180.925000000025
1,2126.1989999999983,2329.642999999997,0.0,12204.413000000031
2,2521.289000000001,2063.8430000000017,0.0,12236.855000000012
3,3158.6709999999966,2530.1670000000004,0.0,12286.984000000011
4,3898.078999999998,2534.9770000000017,0.0,12321.373000000009
5,4025.3839999999964,2528.118000000005,0.0,15303.516
6,55046.136999999995,4901.6680000000015,0.0,33401.51200000004
7,66377.77300000002,9576.72300000001,0.0,17767.435000000038
8,66983.07799999988,15108.496000000012,0.0,15631.044000000022
9,63826.14600000004,15707.492000000004,0.0,16129.60200000003
10,59426.794,14533.569000000014,0.0,16274.915000000025
11,55123.56799999997,14598.093999999992,0.0,14652.350000000011
12,33295.44599999999,11833.218999999994,0.0,35194.496000000094
13,44549.74600000013,12373.144000000004,0.0,17337.562000000034
14,45955.073999999986,11290.417000000007,0.0,14902.22900000002
15,44655.448999999986,9748.36599999996,0.0,14869.231000000007
16,43864.28099999995,10570.96400000001,0.0,14126.971000000014
17,38976.819999999956,11593.185000000012,0.0,16439.717
18,24620.710000000032,16223.318000000028,0.0,34561.57600000005
19,20270.97699999999,13479.567999999961,0.0,40668.91100000002
20,33484.251999999986,9024.781000000012,0.0,15471.110000000015
21,353.3879999999999,7907.956000000014,0.0,14370.309999999987
22,424.8440000000001,6954.026000000004,0.0,14308.93999999998
23,245.80499999999998,3509.154,0.0,10741.265000000034
24,278.27399999999994,2523.5289999999973,0.0,10592.96500000003
25,336.5899999999998,2213.9830000000034,0.0,10584.177000000029
26,423.59600000000006,2074.2359999999994,0.0,10596.509000000025
27,541.698,2415.7729999999997,0.0,10618.526000000009
28,721.6110000000001,2422.9149999999972,0.0,10639.094000000012
29,792.1680000000001,2082.184999999999,0.0,13615.016999999982
30,39255.94500000015,3577.006000000002,0.0,31942.341000000037
31,50457.90800000001,8176.677,0.0,14293.033000000012
32,52561.39700000004,12561.317,0.0,11638.28000000001
33,50973.67899999996,16296.947999999966,0.0,11733.081000000024
34,49225.54299999995,17589.556999999993,0.0,11913.776
35,47697.83500000003,17578.518999999986,0.0,11881.936000000002
36,29332.300999999992,12682.68799999997,0.0,32208.922000000093
37,41629.66799999996,13838.734000000011,0.0,14647.699999999968
38,44505.94799999998,12297.10399999997,0.0,11909.896000000013
39,43956.230000000105,11288.69,0.0,11877.275000000001
40,43701.430000000095,7496.139999999972,0.0,11504.14799999997
41,39514.94700000004,10047.031000000032,0.0,14262.695
42,25546.338,13526.55799999999,0.0,31954.945000000047
43,22030.162000000037,14389.531000000017,0.0,38055.51000000003
44,36340.71900000001,9067.150999999969,0.0,14275.119000000013
45,290.85799999999995,7661.565000000002,0.0,13627.895999999993
46,415.1309999999998,7296.779999999995,0.0,13570.393999999986
47,526.5459999999997,3525.4309999999905,0.0,10617.624000000029
48,4193.321999999999,2480.8440000000073,0.0,12126.389000000008
49,4239.169,2227.962000000001,0.0,12131.448000000004
50,4357.678999999992,3265.0439999999953,0.0,12156.218000000017
51,4565.214,3270.808000000009,0.0,12183.158000000014
52,4886.555000000004,2583.3800000000006,0.0,12221.978000000023
53,7295.645000000008,6675.350000000001,0.0,17543.972000000038
54,55781.21400000009,16024.802999999994,0.0,38763.07499999997
55,144602.59399999998,15958.381000000032,0.0,28310.099000000013
56,136566.9999999998,15802.751,0.0,39220.756999999976
57,127645.20000000004,15251.579000000025,0.0,44729.94699999991
58,112348.43299999992,14436.415999999994,0.0,53101.71999999984
59,97157.0940000001,12398.222999999993,0.0,42323.199999999975
60,73020.1879999999,11554.304999999997,0.0,51967.64500000013
61,77828.1439999998,14110.008000000022,0.0,42225.140000000094
62,71049.78600000005,12492.35800000002,0.0,53003.85199999988
63,67669.59900000009,11256.898000000005,0.0,44923.76199999992
64,66091.79599999994,10371.38,0.0,37853.20699999998
65,65720.05900000008,11688.211999999981,0.0,26942.029999999977
66,24224.98399999999,15414.528999999997,0.0,38843.945999999974
67,20677.730999999967,15547.089999999993,0.0,44652.92000000006
68,34281.32800000001,12883.512999999994,0.0,19381.78200000003
69,1170.0439999999994,9365.060999999992,0.0,18288.51599999996
70,919.7059999999997,6395.003999999987,0.0,15991.837999999978
71,584.687,3814.0470000000037,0.0,12274.862000000037
72,746.5639999999996,2430.895999999997,0.0,12064.061000000022
73,944.9000000000007,2216.2330000000056,0.0,12072.543000000003
74,1221.5030000000006,3245.0250000000083,0.0,12096.60800000001
75,1568.2080000000014,3253.5039999999967,0.0,12124.723000000013
76,1964.2389999999994,2572.2369999999974,0.0,12153.263000000014
77,3563.868999999998,6666.844000000011,0.0,17480.72400000005
78,49739.06499999995,16016.155999999983,0.0,38749.36099999997
79,102689.494,15773.703000000009,0.0,28308.791000000012
80,99073.91899999989,15801.035,0.0,39219.53899999998
81,89899.51999999993,15241.759999999975,0.0,44725.96799999992
82,84057.67600000011,14444.091999999977,0.0,53086.788999999844
83,75177.21999999996,12418.715000000017,0.0,42310.50899999997
84,56195.49099999998,11592.058000000005,0.0,52007.80400000012
85,70192.65799999995,14156.455999999976,0.0,42285.619000000086
86,71357.91699999994,12538.750000000018,0.0,53085.252999999895
87,68074.2400000001,11300.263000000006,0.0,45012.26199999992
88,67392.21900000006,10414.088000000025,0.0,37952.93099999999
89,66182.07399999994,11737.273000000028,0.0,27026.607999999982
90,34370.51500000003,15473.953999999994,0.0,38963.36299999998
91,31182.72699999993,15607.126999999999,0.0,44758.06900000001
92,46869.324999999895,12930.953999999976,0.0,19478.576000000034
93,3860.5909999999985,9411.087000000012,0.0,18400.70199999997
94,2206.682,6429.335000000008,0.0,16091.871999999983
95,1669.9559999999992,3844.496000000004,0.0,12372.054000000027
96,2299.740999999999,2457.829000000006,0.0,12190.270000000017
97,2983.950000000001,2246.7540000000013,0.0,12221.503000000012
98,3942.7820000000033,3303.909,0.0,12289.898000000001
99,5104.810000000011,3308.392000000003,0.0,12345.097000000003
100,6462.1910000000025,2608.3329999999955,0.0,12394.26000000001
101,10871.539999999995,6697.178999999997,0.0,17720.12100000007
102,67661.35399999995,16066.12499999997,0.0,38771.63299999996
103,115623.41099999995,15819.198000000004,0.0,28308.881000000012
104,113242.10800000004,15839.361000000017,0.0,39219.53899999998
105,111613.48099999991,15289.77599999996,0.0,44733.62599999991
106,105643.81900000006,14483.579999999985,0.0,53101.686999999845
107,91493.83100000008,12447.463,0.0,42346.509
108,70438.49199999982,11620.725999999986,0.0,52033.50700000013
109,87144.43799999994,14185.71000000002,0.0,42285.71000000008
110,89210.50599999994,12563.051000000001,0.0,53085.36999999989
111,83289.5940000002,11320.77800000001,0.0,45017.49699999992
112,80562.06100000012,10433.836,0.0,37953.09999999999
113,77030.88999999991,11758.151000000002,0.0,27027.69299999998
114,44706.65200000001,15498.730999999998,0.0,38992.25899999998
115,40804.759000000115,15632.129000000023,0.0,44807.066000000035
116,56684.4759999999,12948.873000000021,0.0,19486.14300000003
117,6252.918000000001,9431.151000000003,0.0,18466.38399999999
118,3484.212000000001,6441.939000000006,0.0,16166.31000000001
119,3136.6629999999973,3854.8200000000015,0.0,12478.226000000042
120,4337.019999999998,2467.2239999999993,0.0,12325.246000000008
121,5692.988000000003,2257.571,0.0,12366.896999999995
122,7343.961999999983,3324.5840000000053,0.0,12409.519000000002
123,9025.709999999995,3327.702999999996,0.0,12446.839000000002
124,11019.751000000002,2621.958999999992,0.0,12484.409000000003
125,16594.75199999999,6709.777999999999,0.0,17793.89200000007
126,78846.33999999998,16091.151000000003,0.0,38771.63299999996
127,129224.82199999996,15845.418999999998,0.0,28309.87600000001
