Name,hs,dhw,hs_and_dhw,cs,el
B2945,16.261,1.185,17.445999999999998,0.0,3.017
B1294,173.224,5.629,178.85299999999998,0.0,10.069
B1280,58.426,9.848,68.274,0.0,20.502
B3497,7.397,0.186,7.583,0.0,1.947
B2951,42.256,5.422,47.678,0.0,8.783
B2789,6.326,0.732,7.058,0.0,2.014
B2979,13.939,1.204,15.143,0.0,2.773
B3326,0.0,0.0,0.0,0.0,0.101
B2038,66.617,9.818,76.435,0.0,19.493
B1531,16.578,0.991,17.569,0.0,2.066
B1257,3.626,1.003,4.629,0.0,7.272
B3440,0.0,0.0,0.0,0.0,0.098
B2986,23.109,3.396,26.505000000000003,0.0,5.191
B3454,71.37,9.566,80.936,0.0,18.848
B2992,14.711,1.227,15.938,0.0,2.862
B1243,547.221,11.714,558.9350000000001,0.0,126.387
B1525,34.701,3.739,38.44,0.0,6.682
B3332,9.23,0.226,9.456000000000001,0.0,2.251
B2004,68.529,1.908,70.437,0.0,5.747
B2762,23.877,3.347,27.224,0.0,5.532
B2776,18.589,1.242,19.831,0.0,7.673
B2010,45.602,3.641,49.242999999999995,0.0,6.178
B1519,16.16,0.954,17.114,0.0,3.371
B1096,34.921,1.008,35.929,0.0,2.404
B3859,35.099,0.997,36.096,0.0,2.439
B3681,41.623,4.94,46.562999999999995,0.0,8.789
B1928,47.325,2.481,49.806000000000004,0.0,3.691
B3695,9.56,0.972,10.532,0.0,2.408
B1082,26.418,1.223,27.641,0.0,2.796
B3865,44.828,5.624,50.452000000000005,0.0,9.931
B1914,36.344,4.978,41.322,0.0,9.714
B1900,10.092,0.221,10.313,0.0,2.242
B3871,35.949,4.756,40.705,0.0,8.561
B3642,153.84,14.542,168.382,0.0,29.064
B1055,39.535,1.557,41.092,0.0,5.242
B1733,34.692,4.028,38.72,0.0,6.829
B3124,32.997,6.276,39.272999999999996,0.0,11.572
B3130,68.148,28.172,96.32,0.0,21.843
B1727,86.426,4.765,91.191,0.0,19.499
B1041,112.172,5.036,117.208,0.0,9.044
B4139,49.636,7.376,57.012,0.0,13.697
B3656,38.577,3.586,42.163,0.0,5.776
B2548,29.745,1.232,30.977,0.0,3.065
