,hs,dhw,cs,el
0,1742.6979999999996,2247.235,0.0,12134.770000000022
1,2159.5929999999985,2333.0839999999994,0.0,12141.652000000013
2,2615.088999999998,2065.637000000003,0.0,12168.112
3,3280.4439999999995,2528.719,0.0,12193.898000000008
4,3970.693000000001,2532.6750000000025,0.0,12216.031
5,4173.715000000001,2533.008,0.0,15194.289999999977
6,55561.99300000003,4914.939999999993,0.0,33223.16600000006
7,66919.81499999996,9605.382000000007,0.0,17589.05100000002
8,67524.07399999996,15154.729000000045,0.0,15452.660999999993
9,64405.880000000005,15755.81000000003,0.0,15951.035
10,59948.52999999997,14578.29400000002,0.0,16129.868999999995
11,55614.73400000006,14642.836999999985,0.0,14474.031999999992
12,33711.86999999987,11868.422999999992,0.0,35030.59000000012
13,45013.32100000011,12411.005999999988,0.0,17159.203999999998
14,46416.17100000001,11325.126000000015,0.0,14723.887000000006
15,45273.08599999995,9778.870999999992,0.0,14690.848999999991
16,44486.200999999965,10604.070000000012,0.0,13948.630000000005
17,39439.22199999993,11628.252000000013,0.0,16261.31399999999
18,25008.10799999998,16273.091999999999,0.0,34383.70100000014
19,20779.949000000022,13522.005999999992,0.0,40492.075999999826
20,33961.469999999936,9052.063999999991,0.0,15292.782999999985
21,377.514,7932.478,0.0,14370.01499999999
22,441.2329999999999,6974.573999999997,0.0,14308.010999999984
23,258.695,3518.725000000006,0.0,10740.03900000003
24,291.461,2528.6089999999976,0.0,10592.795000000027
25,364.30400000000003,2218.1599999999985,0.0,10580.524000000027
26,452.78800000000007,2076.715999999999,0.0,10590.954000000029
27,584.792,2415.113000000002,0.0,10605.006000000018
28,779.0419999999992,2422.254000000001,0.0,10618.80900000002
29,851.5349999999995,2084.6069999999972,0.0,13592.339999999976
30,39998.386999999995,3586.035999999999,0.0,31764.38700000008
31,51226.67399999994,8200.90799999999,0.0,14120.121999999992
32,53300.73799999992,12599.675000000008,0.0,11459.845
33,51680.331000000064,16347.114999999978,0.0,11554.68400000001
34,49903.85000000004,17643.694999999963,0.0,11735.396999999997
35,48353.54499999996,17632.358000000047,0.0,11703.539000000006
36,29879.165000000034,12720.431,0.0,32031.307000000146
37,42241.96499999995,13881.042999999976,0.0,14469.27099999999
38,45106.86000000003,12334.876999999971,0.0,11731.47500000001
39,44540.58600000005,11323.321999999996,0.0,11698.879000000003
40,44271.43400000006,7518.332999999999,0.0,11325.722000000005
41,39888.770000000026,10076.287999999999,0.0,14084.256999999992
42,25997.926999999996,13567.917999999978,0.0,31777.81300000012
43,22302.27999999998,14432.318999999987,0.0,37878.11599999995
44,36836.45699999991,9094.506999999987,0.0,14096.747999999985
45,293.98699999999997,7683.492,0.0,13625.884999999993
46,426.047,7318.361000000001,0.0,13567.164999999985
47,535.7299999999998,3533.6740000000045,0.0,10608.33000000003
48,4290.015000000003,2484.038000000004,0.0,12110.50800000002
49,4336.215000000006,2228.3809999999985,0.0,12106.725000000022
50,4454.877999999997,3262.6859999999992,0.0,12124.097000000023
51,4715.449000000006,3269.715000000001,0.0,12143.866000000024
52,4995.137000000002,2581.5859999999943,0.0,12167.636000000022
53,7423.664999999996,6693.010000000004,0.0,17480.18000000002
54,56222.16299999996,16070.61300000002,0.0,38584.76999999997
55,145558.31600000025,16004.018000000018,0.0,28133.466999999982
56,137455.52700000003,15848.949999999992,0.0,39044.17099999995
57,128464.15700000005,15296.42299999999,0.0,44553.642000000014
58,113665.19799999997,14480.11499999999,0.0,52926.1329999999
59,98243.9220000001,12435.411,0.0,42148.15099999997
60,73895.85500000005,11587.99400000004,0.0,51796.02599999992
61,78821.2660000001,14152.590999999984,0.0,42054.965000000026
62,72052.10499999997,12529.959000000004,0.0,52828.598999999915
63,68563.94099999992,11290.563,0.0,44748.933999999965
64,67243.6739999999,10403.159,0.0,37684.95599999996
65,66525.13600000006,11722.824000000004,0.0,26768.946999999935
66,24630.09599999997,15461.446999999993,0.0,38667.23700000001
67,21237.739000000005,15595.705000000005,0.0,44477.16299999995
68,34791.143999999935,12922.55700000001,0.0,19210.660000000007
69,1239.402000000001,9392.920999999993,0.0,18290.600999999973
70,951.5859999999999,6413.083999999994,0.0,15990.481999999976
71,608.7829999999997,3823.4870000000024,0.0,12272.627000000028
72,764.6329999999997,2434.116,0.0,12057.441000000017
73,970.2940000000016,2216.692000000001,0.0,12058.295000000015
74,1252.0109999999997,3242.788000000002,0.0,12074.178000000018
75,1605.7719999999988,3251.2019999999993,0.0,12093.912000000022
76,2049.231999999998,2571.43600000001,0.0,12115.002000000022
77,3753.167999999997,6685.405000000006,0.0,17433.576000000015
78,50229.72700000012,16061.947000000015,0.0,38572.45499999997
79,103494.2809999998,15819.055000000035,0.0,28132.229999999985
80,99824.9950000001,15847.247999999969,0.0,39042.93399999994
81,90593.47199999998,15286.590999999988,0.0,44549.491000000016
82,84696.03400000004,14486.476999999997,0.0,52910.0359999999
83,75735.06999999993,12454.771999999995,0.0,42135.39499999997
84,56676.27600000002,11624.388,0.0,51831.69199999989
85,70702.26099999988,14197.726999999955,0.0,42108.80700000002
86,71840.83599999982,12575.138999999996,0.0,52908.484999999906
87,68526.60600000004,11332.872000000012,0.0,44835.55799999997
88,67817.02199999988,10443.855999999996,0.0,37776.22099999997
89,66579.12200000016,11770.66900000001,0.0,26849.796999999944
90,34599.15799999998,15519.403000000017,0.0,38785.29800000007
91,31384.976000000053,15652.909999999987,0.0,44579.955999999926
92,47114.478,12968.774000000016,0.0,19299.92200000002
93,3897.7779999999975,9437.731999999996,0.0,18392.59799999997
94,2222.9439999999986,6446.523999999996,0.0,16073.026999999971
95,1680.976000000001,3853.093000000001,0.0,12341.297000000044
96,2270.619999999998,2460.263999999999,0.0,12144.18600000002
97,3002.406000000003,2246.984,0.0,12161.307000000006
98,3891.9960000000024,3299.9330000000004,0.0,12204.047000000006
99,5128.771999999999,3305.5999999999995,0.0,12243.532000000007
100,6491.754999999994,2606.2509999999957,0.0,12273.150000000005
101,10742.131000000012,6713.911000000005,0.0,17591.14100000002
102,67555.97800000006,16110.23599999997,0.0,38593.09999999996
103,115902.89499999983,15864.410999999986,0.0,28132.229999999985
104,113517.96800000023,15885.552999999998,0.0,39042.93399999994
105,111874.41200000005,15334.611000000006,0.0,44557.04600000002
106,105296.48400000011,14524.597000000014,0.0,52925.0889999999
107,91728.67899999977,12483.488000000001,0.0,42184.77599999996
108,70621.66300000009,11653.065999999993,0.0,51856.9959999999
109,86837.32199999997,14225.612999999998,0.0,42108.89900000003
110,89409.6929999998,12599.39800000002,0.0,52908.6029999999
111,83485.18800000024,11353.330000000016,0.0,44840.73199999997
112,80258.79799999988,10462.544000000014,0.0,37776.24699999997
113,77202.4709999998,11791.636999999984,0.0,26850.898999999947
114,44825.18999999987,15544.150000000009,0.0,38813.783000000076
115,40605.460000000014,15676.55400000005,0.0,44623.717999999935
116,56817.624000000054,12986.730000000012,0.0,19307.38400000002
117,6124.049000000003,9456.671999999993,0.0,18437.816999999992
118,3407.1369999999974,6458.3290000000015,0.0,16122.651999999984
119,3124.900999999996,3863.350999999987,0.0,12414.583000000031
120,4241.289999999995,2469.6070000000004,0.0,12235.195000000005
121,5668.574999999991,2257.7389999999973,0.0,12255.439999999999
122,7211.869000000008,3320.537999999999,0.0,12282.258000000002
