Name,hs,dhw,hs_and_dhw,cs,el
B2945,16.423,1.189,17.612,0.0,3.018
B1294,109.945,5.65,115.595,0.0,9.954
B1280,59.415,9.888,69.303,0.0,20.506
B3497,7.6,0.186,7.786,0.0,1.947
B2951,42.672,5.442,48.114,0.0,8.784
B2789,6.425,0.734,7.159,0.0,2.015
B2979,14.076,1.207,15.283000000000001,0.0,2.773
B3326,0.0,0.0,0.0,0.0,0.101
B2038,67.52,9.857,77.377,0.0,19.495
B1531,17.502,0.995,18.497,0.0,2.068
B1257,4.345,1.006,5.351,0.0,7.274
B3440,0.0,0.0,0.0,0.0,0.098
B2986,23.333,3.408,26.741,0.0,5.191
B3454,72.258,9.604,81.862,0.0,18.85
B2992,14.419,1.23,15.649000000000001,0.0,2.861
B1243,554.014,11.76,565.774,0.0,126.401
B1525,35.054,3.753,38.807,0.0,6.682
B3332,9.48,0.228,9.708,0.0,2.251
B2004,102.065,1.914,103.979,0.0,5.805
B2762,24.104,3.359,27.463,0.0,5.532
B2776,18.913,1.246,20.159,0.0,7.674
B2010,34.874,3.655,38.529,0.0,6.16
B1519,16.381,0.956,17.337,0.0,3.371
B1096,19.412,1.012,20.424,0.0,2.378
B3859,16.243,0.999,17.241999999999997,0.0,2.409
B3681,42.028,4.958,46.986,0.0,8.79
B1928,24.057,2.492,26.549,0.0,3.652
B3695,9.648,0.974,10.622,0.0,2.408
B1082,15.819,1.228,17.047,0.0,2.778
B3865,45.266,5.646,50.912,0.0,9.932
B1914,36.779,4.997,41.776,0.0,9.715
B1900,10.358,0.222,10.58,0.0,2.243
B3871,36.29,4.774,41.064,0.0,8.561
B3642,155.379,14.601,169.98,0.0,29.067
B1055,29.571,1.562,31.133000000000003,0.0,5.226
B1733,35.042,4.044,39.086,0.0,6.829
B3124,33.521,6.3,39.821,0.0,11.573
B3130,69.292,28.291,97.583,0.0,21.845
B1727,87.231,4.782,92.01299999999999,0.0,19.501
B1041,46.626,5.056,51.681999999999995,0.0,8.931
B4139,50.138,7.405,57.543,0.0,13.698
B3656,29.825,3.599,33.424,0.0,5.761
B2548,17.307,1.237,18.543999999999997,0.0,3.045
B1069,15.169,1.081,16.25,0.0,2.639
B4111,0.0,0.0,0.0,0.0,0.108
B2560,44.905,5.703,50.608000000000004,0.0,10.324
B2206,76.101,8.584,84.685,0.0,15.71
B3118,35.812,3.664,39.476,0.0,6.267
B2212,0.0,0.0,0.0,0.0,0.076
B4105,1302.277,29.056,1331.333,0.0,350.445
B2574,41.127,5.207,46.334,0.0,8.354
B3093,17.658,1.74,19.398,0.0,2.478
B1684,31.03,1.549,32.579,0.0,4.533
B1848,73.756,8.043,81.799,0.0,14.88
B1690,41.774,5.996,47.77,0.0,11.951
B2399,16.928,0.374,17.302,0.0,3.908
B3087,18.801,1.719,20.52,0.0,2.259
B3911,79.434,9.64,89.074,0.0,18.369
B1860,23.432,2.394,25.826,0.0,3.624
B1874,322.403,5.341,327.744,0.0,93.886
B3905,0.0,0.0,0.0,0.0,0.136
B2428,0.0,0.0,0.0,0.0,0.332
B3736,8.362,0.922,9.284,0.0,1.846
B4059,19.872,2.288,22.16,0.0,3.334
B1121,35.477,4.262,39.739,0.0,7.386
B1647,38.017,2.45,40.467000000000006,0.0,8.264
B3050,14.891,1.329,16.22,0.0,1.777
B3044,15.573,1.22,16.793,0.0,2.727
B1653,41.293,5.779,47.072,0.0,11.626
B1135,12.259,1.048,13.307,0.0,2.059
B3722,11.33,0.946,12.276,0.0,1.868
B2414,103.503,1.748,105.251,0.0,27.852
B4065,0.0,0.0,0.0,0.0,0.051
B2372,50.55,8.42,58.97,0.0,17.059
B3078,0.0,0.0,0.0,0.0,0.288
B2366,11.526,0.94,12.466,0.0,1.847
B2400,10.211,0.249,10.46,0.0,3.065
B4071,41.666,0.568,42.233999999999995,0.0,12.687
B1109,68.34,9.444,77.784,0.0,17.126
B1486,75.385,8.653,84.03800000000001,0.0,15.448
B3291,14.063,0.987,15.05,0.0,2.265
B2831,6.191,0.911,7.102,0.0,2.214
B2825,12.465,1.113,13.578,0.0,2.788
B3285,0.0,0.0,0.0,0.0,0.227
B1492,29.712,3.643,33.355,0.0,6.149
B2819,13.3,1.109,14.409,0.0,2.769
B3252,34.078,3.984,38.062000000000005,0.0,6.591
B1445,18.986,0.992,19.978,0.0,2.175
B1323,46.568,12.909,59.477,0.0,9.594
B3534,210.749,4.055,214.804,0.0,71.865
B1337,61.914,7.113,69.027,0.0,12.525
B1451,200.336,19.79,220.126,0.0,41.006
B2158,0.0,0.0,0.0,0.0,6.804
B3246,28.958,3.659,32.617,0.0,5.864
B1479,26.03,1.512,27.542,0.0,4.615
B2170,35.209,4.336,39.545,0.0,6.855
B3508,21.101,0.448,21.549,0.0,6.403
B2616,28.668,3.354,32.022,0.0,5.354
B2602,50.91,8.028,58.937999999999995,0.0,16.5
B2164,166.837,4.577,171.414,0.0,54.326
B2603,32.702,4.899,37.601,0.0,9.387
B2165,67.697,7.117,74.81400000000001,0.0,13.136
B2171,53.606,5.912,59.518,0.0,10.159
B1478,14.197,0.983,15.18,0.0,1.978
B2617,39.93,4.282,44.212,0.0,7.387
B3509,199.319,3.817,203.136,0.0,64.059
B1336,49.152,5.421,54.573,0.0,9.345
B3521,0.0,0.0,0.0,0.0,0.217
B3247,28.483,3.698,32.181,0.0,5.784
B2159,1331.238,23.529,1354.767,0.0,283.262
B1450,43.539,5.451,48.99,0.0,8.946
B1444,18.274,1.24,19.514,0.0,2.93
B3253,37.982,4.081,42.063,0.0,6.486
B3535,0.0,0.0,0.0,0.0,0.705
B1322,601.636,108.619,710.255,0.0,243.159
B2818,6.128,0.907,7.035,0.0,2.19
B2824,8.494,0.975,9.469,0.0,2.641
B1493,149.953,40.792,190.745,0.0,16.618
B3284,0.0,0.0,0.0,0.0,9.277
B3290,10.511,0.96,11.471,0.0,2.257
B1487,121.176,11.908,133.084,0.0,24.421
B2830,10.117,0.921,11.038,0.0,2.324
B2367,26.472,1.413,27.885,0.0,6.163
B3079,0.0,0.0,0.0,0.0,0.214
B1108,56.612,3.53,60.142,0.0,34.011
B4070,0.0,0.0,0.0,0.0,3.532
B2401,9.402,0.22,9.622,0.0,2.836
B4064,0.0,0.0,0.0,0.0,0.816
B2415,20.482,2.32,22.802,0.0,3.244
B2373,76.199,8.603,84.80199999999999,0.0,16.084
B1652,52.139,6.187,58.326,0.0,10.436
B3045,14.974,1.196,16.17,0.0,2.662
B3723,8.451,0.923,9.374,0.0,1.862
B1134,28.513,3.922,32.435,0.0,6.439
B1120,1508.524,27.497,1536.021,0.0,329.743
B4058,17.405,2.127,19.532,0.0,3.094
B3737,8.385,0.923,9.308,0.0,1.856
B2429,193.439,18.643,212.082,0.0,37.928
B3051,19.012,6.182,25.194000000000003,0.0,4.177
B1646,20.208,1.814,22.022,0.0,3.681
B1875,37.751,0.547,38.297999999999995,0.0,11.492
B3904,258.464,3.609,262.073,0.0,29.522
B3910,0.0,0.0,0.0,0.0,0.067
B1861,15.444,0.973,16.417,0.0,2.009
B3086,0.0,0.0,0.0,0.0,0.188
B2398,44.591,0.79,45.381,0.0,13.598
B1691,51.39,5.83,57.22,0.0,10.466
B1849,24.504,1.484,25.988,0.0,4.204
B1685,28.97,1.28,30.25,0.0,2.962
B3092,0.0,0.0,0.0,0.0,0.755
B2213,38.143,0.711,38.854,0.0,10.016
B2575,49.051,6.167,55.218,0.0,10.962
B4104,0.0,20.27,20.27,0.0,8.829
B2561,42.64,5.196,47.836,0.0,9.461
B4110,0.0,0.0,0.0,0.0,0.17
B1068,14.462,1.061,15.523,0.0,2.443
B3119,31.154,4.049,35.203,0.0,6.825
B2207,119.215,13.705,132.92000000000002,0.0,26.398
B1726,25.156,2.751,27.907,0.0,4.541
B3131,28.171,3.665,31.836,0.0,6.254
B2549,38.678,3.995,42.672999999999995,0.0,7.028
B3657,26.257,3.599,29.856,0.0,5.753
B4138,100.078,14.932,115.01,0.0,29.127
B1040,45.485,5.052,50.537,0.0,8.875
B1054,31.212,1.755,32.967,0.0,5.655
B3643,10.702,1.028,11.73,0.0,2.527
B3125,44.485,6.886,51.371,0.0,13.045
B1732,39.675,4.744,44.419,0.0,8.298
B1901,118.907,2.172,121.079,0.0,27.594
B3870,41.564,4.901,46.465,0.0,8.54
B3864,0.0,0.0,0.0,0.0,0.076
B1915,29.75,3.958,33.708,0.0,6.742
B1083,14.475,1.095,15.57,0.0,2.364
B3694,8.347,0.92,9.267,0.0,1.842
B3680,41.577,4.9,46.477,0.0,8.533
B3858,15.776,0.937,16.713,0.0,2.011
B1097,16.381,1.036,17.417,0.0,2.322
B1929,47.179,7.207,54.386,0.0,14.87
B3469,49.155,5.123,54.278,0.0,9.239
B2777,13.131,1.873,15.004,0.0,1.778
B1518,18.497,2.07,20.567,0.0,2.918
B2011,408.78,3.596,412.376,0.0,26.342
B2005,78.796,2.79,81.58600000000001,0.0,4.521
B2763,31.163,4.29,35.453,0.0,7.248
B1242,494.923,10.587,505.51,0.0,107.033
B2993,14.07,1.207,15.277000000000001,0.0,2.772
B3455,28.136,2.926,31.061999999999998,0.0,4.239
B3333,0.0,0.0,0.0,0.0,0.118
B1524,104.942,2.449,107.39099999999999,0.0,5.808
B1530,17.64,1.171,18.811,0.0,2.685
B2039,0.0,0.0,0.0,0.0,0.411
B3327,0.0,0.0,0.0,0.0,0.096
B2987,17.557,1.256,18.813,0.0,3.262
B3441,13.973,1.309,15.282,0.0,1.671
B1256,597.171,6.025,603.196,0.0,60.006
B2978,0.0,0.0,0.0,0.0,0.109
B2788,9.665,0.745,10.409999999999998,0.0,2.135
B2950,34.228,4.275,38.503,0.0,6.522
B3496,483.345,7.219,490.564,0.0,139.664
B1281,39.663,4.49,44.153,0.0,7.879
B1295,1403.063,11.726,1414.7890000000002,0.0,50.329
B2944,16.282,1.272,17.554,0.0,2.974
B1283,58.669,7.145,65.814,0.0,13.413
B3494,1036.93,315.753,1352.683,0.0,704.307
B2952,28.757,3.877,32.634,0.0,5.93
B3480,15.299,1.356,16.655,0.0,7.306
B2946,13.158,1.002,14.16,0.0,2.239
B1297,631.392,12.74,644.1320000000001,0.0,138.841
B1526,35.073,3.756,38.829,0.0,6.692
B3331,0.0,0.0,0.0,0.0,0.367
B2749,262.77,6.642,269.412,0.0,18.698
B3457,314.127,7.01,321.137,0.0,72.197
B2991,14.062,1.207,15.269,0.0,2.771
B1240,30.928,3.381,34.309,0.0,5.388
B1254,32.178,4.904,37.081999999999994,0.0,8.328
B3443,0.0,0.0,0.0,0.0,0.264
B2985,23.244,3.283,26.527,0.0,5.198
B3325,0.0,0.0,0.0,0.0,0.069
B1532,15.673,1.029,16.701999999999998,0.0,2.394
B2013,32.708,3.46,36.168,0.0,5.749
B2775,52.66,7.29,59.949999999999996,0.0,13.536
B2761,44.467,5.093,49.56,0.0,9.03
B1268,14.801,1.02,15.821,0.0,2.273
B3319,41.129,5.088,46.217,0.0,9.05
B2007,35.514,4.673,40.187000000000005,0.0,8.414
B2588,74.849,9.199,84.048,0.0,17.195
B3696,8.44,0.923,9.363,0.0,1.863
B1081,15.899,1.059,16.958,0.0,2.358
B1095,22.24,0.986,23.226,0.0,2.252
B3682,30.364,3.503,33.867000000000004,0.0,6.326
B3872,38.987,4.465,43.452,0.0,8.056
B1903,84.585,9.736,94.321,0.0,18.499
B1917,85.558,9.736,95.29400000000001,0.0,18.464
B3866,0.0,0.0,0.0,0.0,0.094
B1042,213.041,42.323,255.364,0.0,92.558
B3655,30.224,3.61,33.834,0.0,5.868
B3133,56.935,9.789,66.724,0.0,18.467
B1724,25.832,2.743,28.575,0.0,4.199
B1730,86.479,11.639,98.118,0.0,23.061
B2239,225.599,4.284,229.88299999999998,0.0,68.486
B3127,70.177,14.198,84.375,0.0,28.235
B3641,27.091,3.516,30.607,0.0,6.133
B3899,27.89,4.031,31.921,0.0,6.49
B1056,15.093,1.193,16.286,0.0,2.692
B4106,222.217,5.77,227.98700000000002,0.0,51.907
B3669,158.082,31.688,189.76999999999998,0.0,69.14
B2577,88.1,8.787,96.887,0.0,16.387
B1718,99.205,5.612,104.817,0.0,10.053
B2211,68.778,7.493,76.271,0.0,13.787
B2205,74.606,8.372,82.978,0.0,15.264
B4112,25.288,1.232,26.52,0.0,5.927
B2563,42.375,5.48,47.855000000000004,0.0,9.627
B1693,28.158,3.001,31.159000000000002,0.0,4.641
B3084,41.378,5.001,46.379,0.0,8.823
B3090,24.879,1.32,26.199,0.0,1.743
B1687,41.343,5.641,46.984,0.0,9.919
B4099,51.378,8.174,59.552,0.0,16.886
B3906,0.0,0.0,0.0,0.0,0.262
B1877,26.474,1.892,28.366,0.0,5.935
B1863,101.687,7.199,108.886,0.0,21.108
B3912,110.189,13.099,123.288,0.0,25.376
B1136,12.982,1.019,14.001,0.0,1.863
B3721,33.736,4.325,38.061,0.0,7.608
B3047,14.107,1.05,15.157,0.0,2.449
B2359,53.173,6.004,59.177,0.0,11.228
B1650,22.184,1.364,23.548000000000002,0.0,3.895
B1888,35.257,3.797,39.053999999999995,0.0,6.258
B1644,21.91,2.163,24.073,0.0,5.117
B3053,0.0,0.0,0.0,0.0,0.446
B3735,11.7,0.995,12.694999999999999,0.0,2.205
B1122,101.079,13.829,114.90799999999999,0.0,26.996
B2403,44.598,0.792,45.39,0.0,13.624
B4072,0.0,0.0,0.0,0.0,0.228
B2365,18.16,1.115,19.275,0.0,1.127
B2371,107.862,13.411,121.273,0.0,26.766
B1678,43.391,5.847,49.238,0.0,10.485
B2417,20.382,0.476,20.858,0.0,5.509
B3709,8.394,0.919,9.313,0.0,1.86
B4066,0.0,0.0,0.0,0.0,0.651
B3286,63.194,4.496,67.69,0.0,11.548
B2198,128.412,13.974,142.386,0.0,27.311
B1491,91.369,10.071,101.44,0.0,19.606
B2826,12.541,1.114,13.655000000000001,0.0,2.814
B2832,6.256,0.913,7.1690000000000005,0.0,2.237
B1485,29.94,5.096,35.036,0.0,7.87
B3292,25.745,0.985,26.73,0.0,2.254
B1452,47.981,5.433,53.414,0.0,9.808
B3245,27.956,3.714,31.669999999999998,0.0,5.716
B3523,8.068,0.197,8.264999999999999,0.0,2.429
B1334,39.19,4.418,43.608,0.0,7.203
B1320,673.252,17.622,690.8739999999999,0.0,224.543
B3537,87.593,2.022,89.61500000000001,0.0,21.599
B2629,41.649,4.953,46.602000000000004,0.0,8.7
B3251,28.725,3.713,32.438,0.0,5.835
B1446,26.22,1.51,27.73,0.0,4.318
B2167,46.603,4.834,51.437,0.0,8.305
B3279,0.0,0.0,0.0,0.0,0.026
B1308,39.248,4.43,43.678,0.0,7.215
B2601,49.331,7.465,56.79600000000001,0.0,15.486
B2615,81.945,3.214,85.15899999999999,0.0,5.3
B2173,53.017,5.7,58.717000000000006,0.0,9.998
B2614,56.691,2.472,59.163000000000004,0.0,3.69
B2172,59.554,7.359,66.913,0.0,14.049
B3278,0.0,0.0,0.0,0.0,0.45
B2166,229.922,27.944,257.866,0.0,57.786
B2600,55.752,7.856,63.608000000000004,0.0,15.875
B1309,24.136,3.085,27.221,0.0,4.608
B2628,75.938,8.647,84.58500000000001,0.0,16.312
B1321,650.647,20.713,671.36,0.0,244.818
B1447,46.426,5.166,51.592,0.0,8.906
B3250,29.064,3.74,32.804,0.0,5.907
B3244,28.624,3.645,32.269,0.0,5.788
B1453,232.089,4.741,236.82999999999998,0.0,12.877
B1335,39.254,4.416,43.67,0.0,7.219
B3522,0.0,0.0,0.0,0.0,0.091
B2833,13.205,1.107,14.312,0.0,2.733
B3293,10.436,0.953,11.389,0.0,2.231
B1484,36.244,4.624,40.868,0.0,7.94
B1490,102.105,10.946,113.051,0.0,21.668
B2199,114.079,10.746,124.82499999999999,0.0,20.994
B3287,0.0,0.0,0.0,0.0,0.137
B2827,7.592,0.977,8.568999999999999,0.0,2.65
B1679,22.34,2.438,24.778,0.0,3.763
B2370,59.549,7.484,67.033,0.0,15.376
B4067,0.0,0.0,0.0,0.0,2.66
B3708,8.394,0.919,9.313,0.0,1.86
B2416,174.687,48.785,223.472,0.0,19.873
B4073,11.712,0.371,12.083,0.0,3.905
B2402,234.335,73.148,307.483,0.0,30.926
B2364,24.111,1.21,25.321,0.0,3.111
B3052,62.563,6.897,69.46000000000001,0.0,12.568
B1645,31.989,1.919,33.908,0.0,6.277
B1123,75.924,3.944,79.86800000000001,0.0,36.309
B3734,16.894,0.941,17.834999999999997,0.0,1.838
B3720,33.546,3.808,37.354,0.0,6.488
B1137,18.7,1.017,19.717,0.0,1.846
B1889,21.416,3.176,24.592,0.0,4.998
B1651,13.995,1.029,15.024,0.0,2.479
B2358,46.633,5.669,52.302,0.0,10.341
B3046,13.281,1.042,14.323,0.0,2.406
B1862,19.979,1.23,21.209,0.0,3.204
B3913,31.046,3.845,34.891,0.0,6.453
B3907,52.837,8.304,61.141000000000005,0.0,16.839
B1876,212.635,3.584,216.219,0.0,57.178
B1686,34.389,4.529,38.918000000000006,0.0,7.831
B4098,28.105,2.689,30.794,0.0,4.861
B3085,0.0,0.0,0.0,0.0,0.099
B1692,30.683,4.156,34.839,0.0,7.942
B2204,76.457,8.581,85.038,0.0,15.819
B2562,44.92,5.728,50.648,0.0,10.322
B4113,24.043,2.841,26.884,0.0,4.564
B2576,85.963,11.319,97.282,0.0,22.203
B3668,84.493,4.332,88.82499999999999,0.0,43.317
B4107,42.306,4.92,47.226,0.0,8.588
B2210,56.475,1.564,58.039,0.0,11.895
B1719,33.09,3.475,36.565000000000005,0.0,5.885
B3126,47.835,8.905,56.74,0.0,17.023
B2238,292.057,15.97,308.02700000000004,0.0,130.468
B1731,17.637,1.871,19.508,0.0,2.708
B1057,11.893,1.053,12.946000000000002,0.0,2.579
B3898,0.0,0.0,0.0,0.0,0.192
B3640,43.161,7.245,50.406,0.0,14.641
B3654,0.0,0.0,0.0,0.0,0.135
B1043,827.397,11.81,839.207,0.0,36.237
B1725,25.62,2.651,28.271,0.0,4.16
B3132,34.982,1.422,36.403999999999996,0.0,9.018
B1916,48.127,5.494,53.621,0.0,9.729
B3867,0.0,0.0,0.0,0.0,0.092
B3873,121.25,6.306,127.556,0.0,19.033
B1902,29.087,1.108,30.195,0.0,6.381
B3683,73.822,11.124,84.946,0.0,21.891
B1094,60.664,2.79,63.454,0.0,12.116
B1080,14.284,1.097,15.381,0.0,2.338
B3697,8.43,0.922,9.352,0.0,1.861
B2589,24.99,2.81,27.799999999999997,0.0,5.097
B1269,18.58,0.944,19.523999999999997,0.0,1.88
B2760,38.272,5.625,43.897,0.0,10.022
B2006,86.109,2.946,89.05499999999999,0.0,4.747
B3318,50.708,6.382,57.089999999999996,0.0,11.634
B2012,50.93,6.124,57.054,0.0,10.195
B2774,66.988,8.055,75.043,0.0,15.354
B2984,30.322,4.033,34.355,0.0,6.493
B3442,0.0,0.0,0.0,0.0,3.249
B1255,173.847,4.74,178.58700000000002,0.0,39.452
B1533,12.922,0.986,13.908000000000001,0.0,2.199
B3324,0.0,0.0,0.0,0.0,0.119
B3330,1581.525,22.792,1604.317,0.0,576.497
B1527,26.668,3.116,29.784,0.0,4.887
B1241,26.579,3.59,30.169,0.0,5.823
B2990,10.297,1.033,11.33,0.0,2.401
B3456,385.742,7.993,393.735,0.0,81.298
B2748,260.76,6.657,267.417,0.0,18.709
B1296,116.028,6.42,122.44800000000001,0.0,75.453
B2947,12.918,0.995,13.912999999999998,0.0,2.135
B3481,0.0,0.0,0.0,0.0,0.211
B2953,16.37,1.272,17.642,0.0,3.023
B3495,29.927,0.629,30.556,0.0,8.94
B1282,206.021,3.746,209.767,0.0,65.425
B1286,317.731,37.041,354.772,0.0,78.659
B2957,38.393,4.585,42.978,0.0,7.938
B3491,667.072,136.952,804.024,0.0,307.966
B2943,23.656,1.506,25.162,0.0,4.054
B1292,789.224,26.17,815.394,0.0,319.296
B1279,14.572,0.94,15.511999999999999,0.0,1.856
B2770,40.49,4.88,45.370000000000005,0.0,8.586
