,hs,dhw,cs,el
0,1952.0609999999963,2255.5389999999984,0.0,12127.800000000045
1,2487.824999999999,2342.9220000000046,0.0,12134.676000000041
2,3055.653000000005,2071.0520000000006,0.0,12159.800000000036
3,3764.843999999997,2527.4550000000004,0.0,12177.671000000035
4,4630.476999999999,2532.1349999999984,0.0,12195.38300000004
5,4871.472999999995,2544.7250000000004,0.0,15170.834000000004
6,57136.5830000001,4944.142999999995,0.0,33187.16100000001
7,68522.16400000005,9667.870000000019,0.0,17551.259000000005
8,69146.36400000002,15255.251999999979,0.0,15449.968999999981
9,66415.25099999995,15862.032999999954,0.0,15915.023999999981
10,61931.63600000003,14676.576000000017,0.0,16093.84199999999
11,57288.80799999988,14741.26700000002,0.0,14436.127999999993
12,35239.93099999998,11946.569999999983,0.0,34995.08100000008
13,46694.79499999993,12494.278999999968,0.0,17126.859000000004
14,48092.659000000116,11401.242999999986,0.0,14685.98899999997
15,46940.17299999986,9844.201999999983,0.0,14652.994999999974
16,46142.74099999995,10674.940999999993,0.0,13910.736999999976
17,41100.53399999996,11705.757000000007,0.0,16223.465999999997
18,26486.13800000002,16382.79099999997,0.0,34352.77800000002
19,22218.518999999975,13612.978000000017,0.0,40453.02499999995
20,35701.072,9112.085000000014,0.0,15254.62400000001
21,437.168,7984.590999999985,0.0,14370.951999999992
22,520.1149999999999,7020.621000000011,0.0,14311.172999999979
23,302.46899999999994,3539.1410000000014,0.0,10742.449000000035
24,358.5370000000001,2541.21,0.0,10596.079000000034
25,446.4049999999999,2227.229999999996,0.0,10583.25300000003
26,597.3699999999997,2083.9649999999974,0.0,10598.030000000032
27,782.1440000000002,2417.140999999996,0.0,10610.073000000022
28,1026.6289999999985,2424.226999999998,0.0,10621.519000000026
29,1120.9709999999977,2091.727000000001,0.0,13597.540999999997
30,42563.718000000015,3606.569,0.0,31729.23
31,53817.804000000055,8254.582999999997,0.0,14082.24700000001
32,55790.682,12684.160000000005,0.0,11421.969999999985
33,53931.44200000003,16456.170000000013,0.0,11516.782999999998
34,52069.28799999996,17761.355000000025,0.0,11697.520999999984
35,50436.655999999995,17749.473,0.0,11665.679000000004
36,31874.992999999937,12804.260000000015,0.0,32012.119000000035
37,44237.072000000044,13973.065000000035,0.0,14431.385999999982
38,47029.85400000007,12416.889999999985,0.0,11693.604999999987
39,46583.826000000015,11399.282000000016,0.0,11660.992999999982
40,46099.56600000006,7566.646000000006,0.0,11287.832999999995
41,41855.898999999874,10142.878000000019,0.0,14046.377000000002
42,27564.25200000006,13657.803999999998,0.0,31753.061000000045
43,23903.611999999957,14529.279000000019,0.0,37840.34000000004
44,38562.52300000006,9153.939,0.0,14060.174000000008
45,337.46200000000005,7734.629000000001,0.0,13626.913999999993
46,480.8820000000001,7366.049000000014,0.0,13570.050999999983
47,653.4850000000006,3554.5969999999934,0.0,10615.571000000033
48,4952.682,2493.9730000000086,0.0,12119.17700000003
49,5071.146999999996,2233.386999999992,0.0,12115.875000000035
50,5191.729000000005,3264.714,0.0,12130.58600000004
51,5533.809999999999,3271.5370000000034,0.0,12153.252000000044
52,5990.380000000003,2583.1790000000024,0.0,12180.429000000044
53,8863.138000000003,6735.370000000001,0.0,17494.42800000002
54,59646.341,16174.519000000006,0.0,38558.40999999998
55,151985.69899999996,16108.189000000015,0.0,28102.76599999997
56,143784.1000000001,15952.891999999982,0.0,39013.48500000005
57,134688.6200000002,15397.233000000018,0.0,44527.57900000012
58,119754.88599999977,14575.284999999996,0.0,52895.64699999998
59,103335.60599999996,12516.600999999999,0.0,42123.066999999995
60,78520.09600000009,11663.30200000001,0.0,51773.3469999999
61,83957.84199999999,14246.88399999999,0.0,42037.0750000001
62,77112.35899999995,12613.168999999994,0.0,52816.68499999998
63,73055.34500000007,11365.207000000013,0.0,44723.73299999999
64,71089.78299999994,10470.536999999993,0.0,37659.69400000009
65,70422.15700000002,11799.889,0.0,26751.265999999963
66,26531.438000000006,15564.967999999986,0.0,38645.9149999999
67,22948.79299999996,15698.835000000026,0.0,44448.95999999998
68,37080.35399999999,13008.729999999983,0.0,19214.055999999986
69,1600.4570000000003,9455.82200000001,0.0,18296.873999999967
70,1119.9799999999998,6454.203999999996,0.0,15997.069999999976
71,753.8079999999991,3846.0220000000027,0.0,12280.745000000039
72,963.5469999999999,2444.6550000000043,0.0,12067.376000000022
73,1236.9600000000003,2222.071000000006,0.0,12063.807000000019
74,1592.0660000000005,3246.689000000001,0.0,12086.886000000024
75,2046.728000000001,3255.0119999999974,0.0,12104.229000000032
76,2569.1609999999996,2572.6890000000058,0.0,12127.497000000043
77,4790.271000000012,6727.162000000007,0.0,17453.25500000002
78,53660.24200000003,16165.878000000019,0.0,38539.91399999999
79,109163.67999999998,15921.890000000001,0.0,28101.515999999978
80,105461.35700000012,15951.238000000005,0.0,39012.23500000005
81,96707.5549999997,15388.763999999954,0.0,44521.38400000012
82,90139.22099999973,14581.657999999998,0.0,52894.30399999999
83,80245.75600000002,12535.906000000008,0.0,42119.17300000002
84,60782.476000000104,11698.30100000004,0.0,51819.77199999989
85,75820.16899999997,14291.918000000014,0.0,42077.8740000001
86,77210.75399999999,12658.19999999999,0.0,52877.66699999998
87,72891.16599999985,11406.236000000012,0.0,44809.68999999998
88,71883.42100000009,10510.985000000002,0.0,37745.30400000008
89,70305.83000000002,11846.352000000004,0.0,26819.95199999996
90,37195.39500000003,15622.781999999985,0.0,38759.86399999992
91,33563.26299999994,15755.83799999999,0.0,44558.39799999996
92,49526.61200000008,13053.692000000001,0.0,19268.952999999987
