Name,hs,dhw,hs_and_dhw,cs,el
B2945,54.754,1.175,55.928999999999995,0.0,3.08
B1294,410.334,5.546,415.88,0.0,10.501
B1280,55.385,9.686,65.071,0.0,20.491
B3497,6.974,0.185,7.159,0.0,1.946
B2951,138.383,5.345,143.728,0.0,8.963
B2789,6.02,0.728,6.747999999999999,0.0,2.013
B2979,53.985,1.194,55.179,0.0,2.838
B3326,0.0,0.0,0.0,0.0,0.101
B2038,64.668,9.659,74.32700000000001,0.0,19.49
B1531,69.371,0.973,70.344,0.0,2.152
B1257,0.355,0.994,1.349,0.0,7.261
B3440,0.0,0.0,0.0,0.0,0.098
B2986,66.7,3.349,70.049,0.0,5.266
B3454,91.748,9.414,101.162,0.0,18.886
B2992,70.924,1.216,72.14,0.0,2.953
B1243,532.197,11.537,543.734,0.0,126.356
B1525,131.267,3.683,134.95,0.0,6.841
B3332,8.713,0.225,8.937999999999999,0.0,2.25
B2004,223.347,1.89,225.237,0.0,6.012
B2762,69.472,3.3,72.77199999999999,0.0,5.61
B2776,17.893,1.23,19.123,0.0,7.672
B2010,142.68,3.589,146.269,0.0,6.342
B1519,15.41,0.946,16.356,0.0,3.368
B1096,93.503,0.99,94.493,0.0,2.499
B3859,76.086,0.992,77.078,0.0,2.506
B3681,167.9,4.867,172.767,0.0,9.012
B1928,131.078,2.435,133.513,0.0,3.832
B3695,30.978,0.967,31.945,0.0,2.442
B1082,94.19,1.202,95.392,0.0,2.907
B3865,174.638,5.539,180.177,0.0,10.157
B1914,70.085,4.901,74.98599999999999,0.0,9.774
B1900,9.542,0.219,9.761,0.0,2.241
B3871,89.83,4.684,94.514,0.0,8.652
B3642,522.023,14.306,536.3290000000001,0.0,29.778
B1055,161.954,1.543,163.497,0.0,5.445
B1733,127.36,3.969,131.329,0.0,6.986
B3124,31.324,6.181,37.505,0.0,11.569
B3130,64.811,27.692,92.50300000000001,0.0,21.837
B1727,320.402,4.702,325.104,0.0,19.931
B1041,302.145,4.96,307.10499999999996,0.0,9.37
B4139,105.884,7.262,113.146,0.0,13.799
B3656,138.134,3.536,141.67,0.0,5.948
B2548,86.686,1.219,87.905,0.0,3.158
B1069,76.567,1.058,77.625,0.0,2.739
B4111,0.0,0.0,0.0,0.0,0.108
B2560,57.919,5.594,63.513,0.0,10.346
B2206,200.489,8.417,208.906,0.0,15.938
B3118,164.014,3.599,167.613,0.0,6.489
B2212,0.0,0.0,0.0,0.0,0.076
B4105,1205.624,28.467,1234.0910000000001,0.0,350.221
B2574,179.587,5.115,184.702,0.0,8.611
B3093,96.232,1.701,97.93299999999999,0.0,2.608
B1684,161.647,1.521,163.16799999999998,0.0,4.751
B1848,195.786,7.886,203.672,0.0,15.099
B1690,39.017,5.878,44.895,0.0,11.941
B2399,15.554,0.369,15.923,0.0,3.906
B3087,82.242,1.68,83.92200000000001,0.0,2.364
B3911,163.431,9.45,172.881,0.0,18.524
B1860,108.278,2.34,110.61800000000001,0.0,3.764
B1874,291.704,5.259,296.963,0.0,93.827
B3905,0.0,0.0,0.0,0.0,0.136
B2428,0.0,0.0,0.0,0.0,0.332
B3736,31.883,0.915,32.798,0.0,1.884
B4059,107.793,2.242,110.03500000000001,0.0,3.48
B1121,104.166,4.185,108.351,0.0,7.505
B1647,125.375,2.415,127.79,0.0,8.414
B3050,54.395,1.3,55.695,0.0,1.841
B3044,83.574,1.195,84.76899999999999,0.0,2.838
B1653,38.576,5.665,44.241,0.0,11.616
B1135,44.025,1.025,45.05,0.0,2.111
B3722,62.386,0.925,63.311,0.0,1.949
B2414,94.781,1.725,96.506,0.0,27.822
B4065,0.0,0.0,0.0,0.0,0.051
B2372,47.141,8.249,55.39,0.0,17.047
B3078,0.0,0.0,0.0,0.0,0.288
B2366,54.342,0.919,55.260999999999996,0.0,1.916
B2400,10.204,0.246,10.450000000000001,0.0,3.065
B4071,41.655,0.569,42.224000000000004,0.0,12.687
B1109,65.491,9.257,74.748,0.0,17.121
B1486,225.156,8.49,233.64600000000002,0.0,15.743
B3291,71.031,0.966,71.997,0.0,2.357
B2831,5.799,0.905,6.704000000000001,0.0,2.212
B2825,11.696,1.102,12.798,0.0,2.785
B3285,0.0,0.0,0.0,0.0,0.227
B1492,107.101,3.577,110.678,0.0,6.278
B2819,12.484,1.098,13.582,0.0,2.766
B3252,155.516,3.914,159.42999999999998,0.0,6.806
B1445,73.808,0.971,74.77900000000001,0.0,2.263
B1323,43.757,12.642,56.399,0.0,9.589
B3534,192.74,3.997,196.73700000000002,0.0,71.83
B1337,266.559,6.978,273.53700000000003,0.0,12.902
B1451,525.787,19.384,545.171,0.0,41.666
B2158,0.0,0.0,0.0,0.0,6.804
B3246,116.59,3.596,120.186,0.0,6.019
B1479,128.502,1.491,129.99300000000002,0.0,4.785
B2170,213.56,4.261,217.821,0.0,7.183
B3508,21.094,0.443,21.537000000000003,0.0,6.403
B2616,183.554,3.295,186.849,0.0,5.619
B2602,47.478,7.866,55.344,0.0,16.488
B2164,153.186,4.517,157.703,0.0,54.297
B2603,30.545,4.805,35.35,0.0,9.379
B2165,277.83,6.98,284.81,0.0,13.512
B2171,272.193,5.805,277.998,0.0,10.566
B1478,66.467,0.963,67.42999999999999,0.0,2.063
B2617,145.976,4.205,150.181,0.0,7.574
B3509,179.768,3.763,183.531,0.0,64.023
B1336,197.096,5.321,202.417,0.0,9.609
B3521,0.0,0.0,0.0,0.0,0.217
B3247,155.017,3.635,158.652,0.0,6.01
B2159,1278.801,23.054,1301.855,0.0,283.147
B1450,163.54,5.352,168.892,0.0,9.163
B1444,84.871,1.213,86.08399999999999,0.0,3.039
B3253,178.483,4.011,182.494,0.0,6.739
B3535,0.0,0.0,0.0,0.0,0.705
B1322,561.477,106.26,667.737,0.0,242.985
B2818,5.739,0.901,6.64,0.0,2.188
B2824,7.96,0.969,8.929,0.0,2.639
B1493,139.922,39.908,179.82999999999998,0.0,16.599
B3284,0.0,0.0,0.0,0.0,9.277
B3290,43.563,0.954,44.517,0.0,2.311
B1487,410.699,11.663,422.362,0.0,24.92
B2830,9.496,0.915,10.411000000000001,0.0,2.322
B2367,24.834,1.394,26.227999999999998,0.0,6.157
B3079,0.0,0.0,0.0,0.0,0.214
B1108,52.047,3.471,55.518,0.0,34.003
B4070,0.0,0.0,0.0,0.0,3.532
B2401,9.397,0.217,9.614,0.0,2.836
B4064,0.0,0.0,0.0,0.0,0.816
B2415,103.708,2.267,105.975,0.0,3.384
B2373,289.773,8.436,298.209,0.0,16.477
B1652,172.774,6.074,178.848,0.0,10.662
B3045,60.373,1.177,61.55,0.0,2.736
B3723,34.194,0.916,35.11,0.0,1.903
B1134,82.446,3.852,86.298,0.0,6.532
B1120,1449.3,26.94,1476.24,0.0,329.609
B4058,85.236,2.087,87.32300000000001,0.0,3.207
B3737,31.912,0.916,32.827999999999996,0.0,1.893
B2429,725.778,18.257,744.035,0.0,38.905
B3051,17.889,6.06,23.948999999999998,0.0,4.175
B1646,88.718,1.796,90.51400000000001,0.0,3.802
B1875,37.742,0.547,38.288999999999994,0.0,11.492
B3904,110.461,3.547,114.008,0.0,29.269
B3910,0.0,0.0,0.0,0.0,0.067
B1861,67.082,0.952,68.03399999999999,0.0,2.092
B3086,0.0,0.0,0.0,0.0,0.188
B2398,40.943,0.791,41.733999999999995,0.0,13.592
B1691,162.146,5.72,167.86599999999999,0.0,10.662
B1849,118.06,1.458,119.518,0.0,4.359
B1685,107.492,1.252,108.744,0.0,3.092
B3092,0.0,0.0,0.0,0.0,0.755
B2213,34.899,0.711,35.61,0.0,10.011
B2575,120.182,6.053,126.235,0.0,11.094
B4104,0.0,19.821,19.821,0.0,8.829
B2561,134.438,5.098,139.536,0.0,9.619
B4110,0.0,0.0,0.0,0.0,0.17
B1068,73.681,1.038,74.719,0.0,2.54
B3119,64.113,3.975,68.088,0.0,6.881
B2207,204.819,13.431,218.25,0.0,26.562
B1726,105.694,2.703,108.397,0.0,4.676
B3131,95.95,3.6,99.55,0.0,6.372
B2549,170.148,3.922,174.07,0.0,7.25
B3657,85.816,3.536,89.352,0.0,5.856
B4138,95.394,14.631,110.025,0.0,29.118
B1040,281.62,4.957,286.577,0.0,9.281
B1054,175.445,1.732,177.177,0.0,5.895
B3643,10.044,1.022,11.066,0.0,2.525
B3125,51.85,6.753,58.603,0.0,13.059
B1732,114.751,4.656,119.40700000000001,0.0,8.427
B1901,108.403,2.147,110.55000000000001,0.0,27.576
B3870,170.954,4.81,175.764,0.0,8.763
B3864,0.0,0.0,0.0,0.0,0.076
B1915,128.613,3.887,132.5,0.0,6.913
B1083,85.444,1.072,86.516,0.0,2.48
B3694,35.149,0.913,36.062,0.0,1.885
B3680,182.905,4.809,187.714,0.0,8.781
B3858,66.711,0.93,67.641,0.0,2.093
B1097,81.329,1.013,82.342,0.0,2.428
B1929,44.027,7.061,51.088,0.0,14.859
B3469,132.605,5.025,137.63,0.0,9.38
B2777,47.676,1.833,49.509,0.0,1.839
B1518,87.988,2.023,90.011,0.0,3.032
B2011,128.493,3.542,132.035,0.0,25.816
B2005,171.657,2.742,174.399,0.0,4.676
B2763,88.084,4.213,92.297,0.0,7.348
B1242,475.349,10.395,485.74399999999997,0.0,106.991
B2993,58.647,1.194,59.841,0.0,2.844
B3455,170.625,2.871,173.496,0.0,4.49
B3333,0.0,0.0,0.0,0.0,0.118
B1524,30.804,2.399,33.202999999999996,0.0,5.688
B1530,84.363,1.146,85.509,0.0,2.793
B2039,0.0,0.0,0.0,0.0,0.411
B3327,0.0,0.0,0.0,0.0,0.096
